xa2,xb2,y,Aug,Dec,Apr,Nov,Sep,May,Mar,Jul,Jun,Jan,Feb,Oct,Sat,Tue,Wed,Mon,Thu,Fri,Sun
0.02819419,1.669168,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.02819419,0.2192363,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.02819419,-0.4948519,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.02819419,-0.7577038,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02819419,-0.535182,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.02819419,0.03447898,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02819419,0.1328636,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.02819419,-0.2333445,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.02819419,0.484472,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.02819419,0.3931407,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02819419,0.206773,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.02819419,1.169935,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.02819419,0.7373206,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.02819419,0.2622594,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.02819419,1.345698,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02819419,2.52264,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.02819419,3.131795,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02819419,4.605161,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.02819419,3.717951,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.02819419,1.473748,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.02819419,0.5328714,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.02819419,-0.5472575,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02819419,-0.9645372,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.02819419,-0.989587,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.02819419,-0.8597743,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.02819419,0.01864191,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.02819419,-0.0264383,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.02819419,-0.6905838,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02819419,-0.5489204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.02819419,-0.3852144,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.02819419,-0.6858482,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.02819419,-0.8700247,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02819419,-0.5789982,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.02819419,-0.5271489,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.02819419,-0.6941881,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.02819419,-0.6121187,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02819419,-0.3709279,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02819419,-0.200211,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02819419,-0.2986091,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.02819419,-0.6319654,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.02819419,-0.781176,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.02819419,-0.893329,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.02819419,-1.017506,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.02819419,-0.8744708,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.02819419,-0.6144846,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.02819419,-0.6139303,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.02819419,-0.8125906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.02819419,-0.6557246,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.02819419,-0.3125415,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.02819419,-0.05829578,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.02819419,0.2044905,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.02819419,0.3950893,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02819419,-0.09646696,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.02819419,-0.4971251,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02819419,-0.257783,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02819419,0.3476635,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.02819419,0.7641911,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.02819419,-0.09067816,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.02819419,-0.633816,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.02819419,-0.7142273,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.02819419,-0.9673209,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.02819419,-1.060876,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02819419,-0.4733379,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.02819419,0.1565417,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.02819419,-0.05056708,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.02819419,-0.6389521,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.02819419,-0.4616474,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.02819419,-0.1670094,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.02819419,-0.7074094,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.02819419,-0.4186986,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.02819419,-0.4107784,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.02819419,-0.7072835,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.02819419,-0.4693853,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.02819419,-0.02072717,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.02819419,-0.4932569,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.02819419,-0.7665195,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02819419,-0.7311773,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.02819419,-0.4177386,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.02819419,-0.7472899,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.02819419,-0.8122563,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.02819419,-0.4242361,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
