xa60,xb60,y,Apr,Mar,Sep,Oct,Jun,May,Aug,Feb,Dec,Nov,Jul,Jan,Tue,Thu,Mon,Wed,Fri,Sat,Sun
0.2109755,-0.4950702,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.2447924,-0.437584,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.1736342,-0.4507987,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.114388,-0.4723802,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1381383,-0.4707999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.1654525,-0.4560875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1668527,-0.4466023,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.1243857,-0.4534895,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1267792,-0.453442,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.1684764,-0.4462878,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.2182066,-0.4296891,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2400319,-0.4639002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.1995105,-0.4630876,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.2362809,-0.4921221,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.2100386,-0.5106554,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2606169,-0.5082418,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.2973595,-0.5371565,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.2705655,-0.5554131,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.1731976,-0.5753812,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.1146296,-0.5801711,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1104376,-0.5379702,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
