xa3,xb3,y,Jan,Sep,Aug,Jun,Jul,May,Oct,Mar,Feb,Dec,Nov,Apr,Sat,Sun,Thu,Mon,Tue,Fri,Wed
1.003154,4.430531e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.007027,4.434983e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9988943,5.347856e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.000048,6.224821e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.010101,5.770143e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1.009313,5.664958e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9976528,6.23498e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.002697,6.028996e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9880341,5.461632e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.010921,5.042389e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9900121,5.648486e+008,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.996762,5.989646e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.006812,5.41187e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.9975731,5.139075e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.004388,4.574313e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1.00925,4.589516e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.000591,5.093512e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.9995571,5.274474e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9934005,5.520963e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9994625,6.952491e+008,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1.001419,8.088835e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.00393,7.496357e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.006344,6.117257e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1.005787,5.451387e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
