xa20,xb20,y,May,Nov,Aug,Sep,Mar,Apr,Feb,Jul,Dec,Jun,Oct,Jan,Thu,Sun,Fri,Mon,Wed,Sat,Tue
1,3.663995e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,3.81037e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,4.026201e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,4.43715e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,4.529459e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,4.584072e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,4.759937e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5.044902e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,5.568112e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,5.75713e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,6.094547e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,6.407389e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,6.575162e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,6.045464e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5.315767e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.978441e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,4.974925e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,4.98648e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,4.94072e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,4.804423e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,4.664094e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,4.533381e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,4.234654e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,3.74152e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3.467929e+009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,3.387737e+009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,3.386251e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3.433517e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3.386742e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3.337741e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3.407494e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3.295393e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,3.245916e+009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,3.256992e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,3.426186e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,3.518201e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,3.622302e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,3.8283e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3.87691e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,3.859112e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3.744933e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,3.649798e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3.683686e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,3.633089e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3.561709e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,3.500019e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,3.508591e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3.567544e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3.583818e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,3.636338e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,3.618764e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3.710773e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3.685085e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3.531225e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3.437651e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,3.452119e+009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,3.544666e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3.522616e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3.512282e+009,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,3.506815e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3.500014e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3.498976e+009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,3.494244e+009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,3.619543e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3.746294e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3.777877e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3.747323e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,3.812408e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3.796278e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3.765325e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,3.666309e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,3.763189e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3.838403e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,3.810821e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,3.755943e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3.617461e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3.759171e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,3.871227e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3.980949e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,4.094454e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,4.267104e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,4.517788e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,4.512452e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,4.395714e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,4.433625e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,4.632228e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,4.84467e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,4.739348e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,4.713239e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,4.73034e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,4.826565e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,4.775707e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
