xa40,xb40,y,Sep,Oct,Aug,Jan,Dec,Jul,Nov,Feb,Apr,Mar,Jun,May,Sat,Tue,Fri,Thu,Wed,Mon,Sun
0.1270521,0.3234834,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.1270521,0.3749484,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1270521,0.4281674,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1270521,0.5311301,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.1270521,0.6541697,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1270521,0.7583329,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.1270521,0.7788492,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.1270521,0.8247973,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.1270521,0.8583611,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1270521,0.9542766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.1270521,1.088059,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.1270521,1.262434,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.1270521,1.383629,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.1270521,1.396749,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.1270521,1.240683,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1270521,0.9453954,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1270521,0.6525357,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1270521,0.4088231,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.1270521,0.2378061,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.1270521,0.1189859,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.1270521,0.09513888,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.1270521,0.08635024,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1270521,0.003383267,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.1270521,-0.1063359,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1270521,-0.2038663,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.1270521,-0.2695435,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1270521,-0.3103665,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
