xa250,xb250,y,Mar,Sep,Oct,Nov,May,Jun,Apr,Feb,Jan,Jul,Aug,Dec,Fri,Thu,Sun,Sat,Tue,Wed,Mon
0.3644492,-0.4670443,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3603162,-0.4617402,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.4429834,-0.4590733,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.446202,-0.4647611,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.477444,-0.4679558,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.4074932,-0.4742066,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.4165983,-0.4832008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3860844,-0.4887569,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.36756,-0.4955648,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.3356413,-0.516835,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
