xa10,xb10,y,Jan,Dec,Mar,Feb,Apr,May,Sep,Jun,Aug,Jul,Nov,Oct,Tue,Mon,Thu,Sun,Fri,Sat,Wed
1,1.601769e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1.569236e+009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1.549592e+009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,1.550226e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1.641757e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.716847e+009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1.837726e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1.810643e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,1.849392e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1.76944e+009,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1.72354e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,1.74215e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.823597e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1.989294e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.021211e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,2.112847e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.114561e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.025468e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.922629e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1.820923e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1.817659e+009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,1.857219e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1.920293e+009,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,2.004612e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,2.192199e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,2.519703e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.868129e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,2.959712e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,3.123063e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,3.156386e+009,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,3.081311e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,2.564742e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,2.119297e+009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1.887419e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.832879e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1.857094e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1.690751e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1.637363e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1.620445e+009,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,1.739077e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1.677179e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1.50581e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1.4066e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.386787e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.405212e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.326766e+009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1.318097e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1.265308e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1.240134e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,1.240369e+009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,1.276865e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1.232557e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,1.161455e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1.15919e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.2267e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,1.281409e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.317258e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1.461766e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1.524904e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1.537133e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.493827e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,1.511754e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1.481067e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.382144e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.338952e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1.370034e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1.376394e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.397706e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1.506297e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1.691347e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1.854639e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1.857745e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,1.928822e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,1.983958e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,2.117336e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2.169701e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,2.196531e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,2.358093e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,2.614614e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,3.079495e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3.226135e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,3.545659e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,3.820765e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,3.972062e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,3.402169e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.732657e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,2.414754e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.446285e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2.502755e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2.461294e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.426975e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.354038e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.272828e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2.145547e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
